epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,4647.93,1.26404,0.71893,1.1976,0.92996,0.9156,0.95174,0.59846,1.03914,5.74503,0.80569,0.008746,0.008746,0.008746
21,6906.37,1.26093,0.71219,1.19711,0.93267,0.91444,0.95261,0.59957,1.03701,5.83719,0.80482,0.00868,0.00868,0.00868
22,9178.56,1.25365,0.70631,1.19415,0.93336,0.91498,0.95298,0.60023,1.03495,5.90096,0.80409,0.008614,0.008614,0.008614
23,11493.6,1.25148,0.70638,1.1931,0.93399,0.9155,0.95343,0.60115,1.03363,5.87939,0.80368,0.008548,0.008548,0.008548
24,13706.8,1.24694,0.69577,1.1894,0.9343,0.91651,0.9539,0.60218,1.03162,5.9005,0.80295,0.008482,0.008482,0.008482
25,15985.5,1.24462,0.69418,1.18688,0.93599,0.91531,0.95447,0.60268,1.0304,5.93084,0.80235,0.008416,0.008416,0.008416
26,18233.9,1.23987,0.69062,1.18623,0.93643,0.91707,0.95511,0.60353,1.02899,5.89064,0.80172,0.00835,0.00835,0.00835
27,20426.3,1.23701,0.68585,1.18179,0.93539,0.91873,0.95567,0.60397,1.028,5.90584,0.80096,0.008284,0.008284,0.008284
28,22614.3,1.23645,0.68262,1.1811,0.93481,0.91959,0.95601,0.60481,1.02697,5.81631,0.80041,0.008218,0.008218,0.008218
29,24837,1.23774,0.68232,1.18138,0.93533,0.92108,0.95711,0.60606,1.0252,5.70977,0.7994,0.008152,0.008152,0.008152
30,27076.1,1.22894,0.67555,1.17725,0.93742,0.92082,0.95784,0.60731,1.02377,5.53859,0.79891,0.008086,0.008086,0.008086
31,29337.6,1.22795,0.67399,1.17729,0.93695,0.92206,0.95844,0.60824,1.02299,5.47169,0.79853,0.00802,0.00802,0.00802
32,31562.1,1.225,0.67315,1.17385,0.93625,0.9248,0.95951,0.60928,1.02118,5.38381,0.79783,0.007954,0.007954,0.007954
33,33816.1,1.22682,0.67108,1.17514,0.9364,0.92638,0.96006,0.60994,1.02036,5.2655,0.79763,0.007888,0.007888,0.007888
34,36089.6,1.22233,0.66712,1.17037,0.93911,0.92557,0.96088,0.61127,1.01864,5.13597,0.79709,0.007822,0.007822,0.007822
35,38368.6,1.2211,0.66498,1.17207,0.942,0.92403,0.96162,0.61212,1.01827,5.04958,0.79689,0.007756,0.007756,0.007756
36,40577.3,1.21911,0.66226,1.16987,0.94447,0.92453,0.96194,0.61302,1.01775,4.94486,0.79658,0.00769,0.00769,0.00769
37,2244.82,1.21436,0.65784,1.16781,0.94486,0.92386,0.96162,0.61237,1.01758,4.94731,0.79681,0.007624,0.007624,0.007624
38,4418.59,1.21831,0.66293,1.16773,0.94433,0.92469,0.96091,0.61235,1.01741,4.99454,0.79692,0.007558,0.007558,0.007558
