epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27577.3,0.90934,0.50288,1.02759,0.94307,0.93407,0.95091,0.59212,1.28218,0.57125,1.3158,0.005842,0.005842,0.005842
44,28217.9,0.91126,0.50484,1.02324,0.94232,0.93377,0.95081,0.59233,1.28211,0.57241,1.31452,0.005743,0.005743,0.005743
45,28858.6,0.91398,0.50297,1.02301,0.93949,0.9345,0.95007,0.59253,1.28215,0.57392,1.31341,0.005644,0.005644,0.005644
46,29499.8,0.90428,0.49841,1.01958,0.93472,0.93426,0.94643,0.58966,1.28576,0.58163,1.31291,0.005545,0.005545,0.005545
47,30140.8,0.91038,0.49998,1.02359,0.93466,0.93328,0.94597,0.58878,1.28842,0.584,1.31351,0.005446,0.005446,0.005446
48,30782.3,0.9037,0.49599,1.01825,0.9338,0.93078,0.94561,0.58987,1.28774,0.58657,1.3127,0.005347,0.005347,0.005347
49,31423.5,0.9028,0.49395,1.01754,0.92646,0.93365,0.94375,0.58931,1.28886,0.59107,1.31302,0.005248,0.005248,0.005248
50,32065.5,0.89855,0.49327,1.01415,0.92037,0.93256,0.93923,0.58658,1.28987,0.59453,1.31308,0.005149,0.005149,0.005149
51,32706.5,0.8965,0.48911,1.01626,0.8668,0.93237,0.89455,0.55175,1.31165,0.62897,1.32283,0.00505,0.00505,0.00505
52,33347.6,0.89443,0.48357,1.01043,0.86655,0.93,0.89323,0.55153,1.31097,0.63034,1.32213,0.004951,0.004951,0.004951
53,33989.4,0.88357,0.47874,1.00942,0.83104,0.92782,0.86048,0.53179,1.31529,0.64333,1.32506,0.004852,0.004852,0.004852
54,34629.8,0.88584,0.48054,1.00724,0.8299,0.92855,0.86109,0.52822,1.33209,0.66903,1.33295,0.004753,0.004753,0.004753
55,35271.5,0.88923,0.47992,1.00976,0.8296,0.93013,0.85943,0.52687,1.33135,0.66903,1.3324,0.004654,0.004654,0.004654
56,35913.1,0.88737,0.47827,1.00708,0.8299,0.92962,0.8582,0.52678,1.3307,0.66903,1.33141,0.004555,0.004555,0.004555
57,36554.5,0.88409,0.47512,1.01015,0.82849,0.93161,0.85727,0.52315,1.33737,0.69738,1.33846,0.004456,0.004456,0.004456
58,37196.5,0.87764,0.47341,1.00394,0.83377,0.92988,0.86318,0.52098,1.34829,0.69989,1.34299,0.004357,0.004357,0.004357
